WKN,Basiswert,Typ,Bezugs-verhältnis,Basispreis,Bewertungs-tag,Hebel,Kurs Basiswert,Geld,Brief,Untertägige Auktion,Handeln
FD238K,DAX 40,Call,"100,000000:1","24625,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24CJ,DAX 40,Put,"100,000000:1","23200,000000 PKT",07.11.2025 00:00:00,"18298,4701","23792,82 PKT","0,0120","0,0000",Mittagsauktion,-
FD24C7,DAX 40,Put,"100,000000:1","23775,000000 PKT",07.11.2025 00:00:00,"313,0283","23792,82 PKT","0,7500","0,0000",Mittagsauktion,-
FD2399,DAX 40,Call,"100,000000:1","26075,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239F,DAX 40,Call,"100,000000:1","25375,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD239K,DAX 40,Call,"100,000000:1","25475,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24FD,DAX 40,Put,"100,000000:1","25625,000000 PKT",07.11.2025 00:00:00,"12,9790","23792,82 PKT","18,3100","0,0000",Mittagsauktion,-
FD24BH,DAX 40,Put,"100,000000:1","22325,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24BM,DAX 40,Put,"100,000000:1","22425,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24B0,DAX 40,Put,"100,000000:1","22750,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD2369,DAX 40,Call,"100,000000:1","23525,000000 PKT",07.11.2025 00:00:00,"84,0688","23792,82 PKT","2,8300","0,0000",Mittagsauktion,-
FD236V,DAX 40,Call,"100,000000:1","23175,000000 PKT",07.11.2025 00:00:00,"38,4350","23792,82 PKT","6,2000","0,0000",Mittagsauktion,-
FD236Q,DAX 40,Call,"100,000000:1","23050,000000 PKT",07.11.2025 00:00:00,"32,0205","23792,82 PKT","7,4400","0,0000",Mittagsauktion,-
FD236C,DAX 40,Call,"100,000000:1","22750,000000 PKT",07.11.2025 00:00:00,"22,8106","23792,82 PKT","10,4300","0,0000",Mittagsauktion,-
FD2374,DAX 40,Call,"100,000000:1","24250,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD237U,DAX 40,Call,"100,000000:1","24000,000000 PKT",07.11.2025 00:00:00,"1586,0990","23792,82 PKT","0,1500","0,0000",Mittagsauktion,-
FD237P,DAX 40,Call,"100,000000:1","23875,000000 PKT",07.11.2025 00:00:00,"506,1887","23792,82 PKT","0,4700","0,0000",Mittagsauktion,-
FD237B,DAX 40,Call,"100,000000:1","23575,000000 PKT",07.11.2025 00:00:00,"99,5454","23792,82 PKT","2,3900","0,0000",Mittagsauktion,-
FD24DZ,DAX 40,Put,"100,000000:1","24425,000000 PKT",07.11.2025 00:00:00,"37,6444","23792,82 PKT","6,3100","0,0000",Mittagsauktion,-
FD24DG,DAX 40,Put,"100,000000:1","24000,000000 PKT",07.11.2025 00:00:00,"107,1688","23792,82 PKT","2,2100","0,0000",Mittagsauktion,-
FD24DL,DAX 40,Put,"100,000000:1","24100,000000 PKT",07.11.2025 00:00:00,"76,0084","23792,82 PKT","3,1200","0,0000",Mittagsauktion,-
FD24D0,DAX 40,Put,"100,000000:1","24450,000000 PKT",07.11.2025 00:00:00,"36,2123","23792,82 PKT","6,5600","0,0000",Mittagsauktion,-
FD24FE,DAX 40,Put,"100,000000:1","25650,000000 PKT",07.11.2025 00:00:00,"12,8116","23792,82 PKT","18,5600","0,0000",Mittagsauktion,-
FD24ET,DAX 40,Put,"100,000000:1","25125,000000 PKT",07.11.2025 00:00:00,"17,8613","23792,82 PKT","13,3100","0,0000",Mittagsauktion,-
FD24EY,DAX 40,Put,"100,000000:1","25250,000000 PKT",07.11.2025 00:00:00,"16,3289","23792,82 PKT","14,5600","0,0000",Mittagsauktion,-
FD24EA,DAX 40,Put,"100,000000:1","24700,000000 PKT",07.11.2025 00:00:00,"26,2307","23792,82 PKT","9,0600","0,0000",Mittagsauktion,-
FD24E4,DAX 40,Put,"100,000000:1","25400,000000 PKT",07.11.2025 00:00:00,"14,8047","23792,82 PKT","16,0600","0,0000",Mittagsauktion,-
FD24BQ,DAX 40,Put,"100,000000:1","22500,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24BV,DAX 40,Put,"100,000000:1","22625,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
